´_èlanguage,form,measure,age,identity,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
English (American),WS,produced,16,CDI_manual_norms,10,19,26,37,52,72,94,124,179,372
English (American),WS,produced,17,CDI_manual_norms,13,25,34,48,67,92,119,156,221,436
English (American),WS,produced,18,CDI_manual_norms,17,32,44,62,86,116,149,194,268,494
English (American),WS,produced,19,CDI_manual_norms,22,41,57,80,109,145,184,236,318,543
English (American),WS,produced,20,CDI_manual_norms,29,53,73,102,137,178,224,282,368,581
English (American),WS,produced,21,CDI_manual_norms,37,67,92,128,171,217,268,331,418,610
English (American),WS,produced,22,CDI_manual_norms,48,84,117,160,209,259,314,380,464,632
English (American),WS,produced,23,CDI_manual_norms,61,105,146,198,251,304,362,427,506,647
English (American),WS,produced,24,CDI_manual_norms,77,131,180,239,297,351,409,471,542,658
English (American),WS,produced,25,CDI_manual_norms,98,161,218,285,344,397,453,510,572,665
English (American),WS,produced,26,CDI_manual_norms,122,195,261,332,391,441,493,545,597,670
English (American),WS,produced,27,CDI_manual_norms,151,233,306,380,437,482,529,573,616,674
English (American),WS,produced,28,CDI_manual_norms,184,275,353,426,478,518,559,597,632,676
English (American),WS,produced,29,CDI_manual_norms,222,318,399,469,516,550,585,616,644,678
English (American),WS,produced,30,CDI_manual_norms,263,363,443,508,548,576,606,631,653,679
